datetime,city,state,country,shape,duration (hours/min),comments,date posted,longitude 
6/12/2013 23:35,kalispell,mt,us,light,15 minutes,Orange circle (Like a super large sun at night) twice the size of a full moon.,7/3/2013,-114.31194440000002
10/30/2010 23:35,bear,de,us,light,45 seconds,group of reddish lights flying over a residential neighborhood.,11/21/2010,-75.65861109999999
6/10/1977 15:00,kingsville (south of),tx,us,disk,10 min,Transparent saucer followed by F-4  Phantoms.  ((NUFORC Note:  May not be a serious report.  PD)),12/16/2005,-97.8558333
7/1/2003 00:00,moses lake,wa,us,other,a few hours,many fast moving objects,12/3/2004,-119.27694440000002
2/1/2014 18:00,spring hill,tn,us,fireball,5 minutes,Two orange fireball-type flying craft within 5 minutes of each other.,2/7/2014,-86.93
4/11/2002 22:00,hilo,hi,us,changing,couple seconds,huge silver disappearing object,10/28/2002,-155.09
10/10/1999 11:00,san diego,ca,us,fireball,1 hour,At 10:45 in the morning&#44 my father and I noticed a small stationary object in the sky.,10/19/1999,-117.1563889
12/3/2012 14:20,cypress,tx,us,other,15 seconds,Light with trail and a flash in the sky over Cypress&#44 Texas.,12/20/2012,-95.6969444
6/17/2008 22:00,dresden (germany),nan,de,light,2-3 minutes,Possible UFO&#180;s seen over Dresden&#44 Germany&#44 no unusual flight paths or speed. Please suggest explanations.,8/12/2008,13.75
4/16/1987 15:30,clearwater,fl,us,other,3 minutes,This is not the flying spaceship UFO&#44 but since it wasnt on the ground or identifiable this seemed the place to go. For 24 years I kept,3/10/2011,-82.80027779999998
6/17/2005 14:30,los angeles,ca,us,disk,5 minutes,Hovering black object spotted over my house.,6/20/2005,-118.2427778
11/18/1992 19:00,new york city (brooklyn),ny,us,formation,5 minutes,Pool Rack formation seen over an Army Base in Brooklyn&#44 NY during a meteor shower,1/31/2004,-74.0063889
12/29/2006 00:53,london (uk/england),nan,gb,egg,15 seconds,just a light getting closer and closer then dissapered.,2/1/2007,-0.093689
4/5/1971 18:00,orlando,fl,us,disk,2 minutes,Orlando&#44 Pine Hills Disk,10/31/2008,-81.3794444
8/19/2006 22:00,greenville (canada),bc,nan,disk,3 hours,4 nights in  row...what do they want?,10/30/2006,-129.58121
11/12/2010 19:15,pristina (kosovo),nan,nan,fireball,2&#443 seconds,round ball of fire travelling very fast what looked like a large orange fireball,11/21/2010,21.153346
6/9/1998 06:20,lynch mountain,ky,nan,other,18:20,IT was a  glowing like person without a neck a big head at the top and small at the bottom.,12/2/2000,-82.929884
5/12/2003 01:00,yazd (iran),nan,nan,triangle,1houre,dear; sir we have seen the U.F.O from one month evre day they are seen from 5 pm to 10pm with defran colare of light whith circular we,12/9/2003,54.35685600000001
7/27/2012 23:00,st. peters,mo,us,circle,1 minute,Orange glowing light seen over Saint Peters Missouri 7/27/12,8/5/2012,-90.6263889
12/5/2008 00:00,prior lake,mn,us,sphere,2 min. approx.,A bright  light  that went from moving slowly to extremely fast to stationary and then gone with no sound or acceleration.,8/5/2009,-93.4225
4/25/1996 21:30,santa barbara,ca,us,nan,1 hour,Man on Rte. 126 sees bright white flash of light&#44 then missing time.  Experiences peculiar events&#44 sees strange visions from history.,11/2/1999,-119.6972222
8/3/2006 17:15,carbondale,pa,us,teardrop,30 minutes,there were electrical effects&#44 my cell phone went crazy,10/30/2006,-75.5022222
7/15/1995 19:00,spokane,wa,us,disk,30 minutes,Driving on interstate 90 going east towards Post Falls&#44 Idaho a huge disc shaped object of many changing colors seen over Stateline&#44  I,4/27/2004,-117.425
6/16/2005 01:00,blue mound,il,us,triangle,a few minutes,Strange triangle ship petrifies me and ruins my cd player.,9/2/2005,-89.1230556
5/9/2010 22:00,fairfield,ca,us,triangle,35 s,Boomerang UFO,6/3/2010,-122.0388889
3/9/2000 20:45,fredericksburg,va,us,fireball,5 seconds,Shot across the sky. Started orange then turned to a greenish color.Then it disappeared.,3/16/2000,-77.4608333
12/15/2003 18:55,salisbury,md,us,changing,15 minutes,Vacillating object seen through kitchen window,12/19/2003,-75.5997222
3/16/1998 13:30,seattle,wa,us,sphere,5 seconds,Commercial Airline Flight From Juneau AK to Seattle,4/2/1999,-122.33083329999998
7/9/2010 23:00,wellington,nv,us,flash,10 minutes,Flashing Light,8/24/2010,-119.375
6/15/2000 23:00,romania,nan,nan,disk,8 seconds,A round disk with a green colour all around it and a red one under.,12/14/2006,24.96676
7/12/2012 09:15,ronkonkoma,ny,us,circle,20 minutes,Stange unidentified red flashing lights in Southern sky moving west,8/5/2012,-73.11277779999998
5/3/2014 21:00,waxhaw,nc,us,circle,~1 minute,Bright orb that dimmed &amp; got smaller before vanishing in the sky.,5/8/2014,-80.7436111
1/26/2008 00:05,portland,or,us,circle,5 minutes,Stationary yellow-white ball of light over Portland&#44 OR&#44 emitting colors and no sound.,2/14/2008,-122.675
11/19/2012 03:20,draper,ut,us,rectangle,3 minutes,Black rectanlge object moving north with a blue &quot;knight rider&quot; light that blink every couple of secs,12/20/2012,-111.86305559999998
10/13/2013 19:00,irondequoit,ny,us,fireball,10 minutes,Fireball like objects floating in the sky.....same path.,10/14/2013,-77.58
12/31/2012 23:32,tampa,fl,us,diamond,4 minutes,LOW FLYING UFO STOPPED IN MID AIR OVER TAMPA&#44 FL.  THEN VANISHED&#33,2/4/2013,-82.45861109999998
7/4/2010 23:35,grand isle,la,us,circle,6 seconds,The objects had a life of their own like they were in scihcronised,7/19/2010,-89.9872222
9/18/2003 21:00,mono mills (orangeville area) (canada),on,nan,oval,40 minutes,Two oval circles splitting into four at times,9/24/2003,-79.969193
6/25/2011 00:00,levan (yuba state park),ut,us,light,5 seconds,Bright light flying out of our atmosphere above Yuba Lake&#44 UT.,7/4/2011,-111.8611111
7/1/1984 22:00,peekskill,ny,us,triangle,3-4 minutes,Hudson Valley area.  Large&#44 silent&#44 triangle shaped vehicle hovered about 100-200 ft over the house for about 3-4 minutes.,4/1/2000,-73.9208333
9/15/2011 23:30,oxford (uk/england),nan,gb,sphere,2 minutes,luminous red spheres&#44 noiseless moved incredibly fast&#44 emitted red sparks.,7/4/2012,-1.25
7/27/1999 05:10,canon city,co,us,flash,approx 30 sec.,While enjoying my am coffee and waiting for the sunrise&#44 I was looking toward the southwest&#44 when suddenly near one last remaining star,8/10/1999,-105.21666670000002
5/30/1999 20:15,paso robles,ca,us,cigar,10 min,the object was hovering in the sky and giving off a white and sum what orange glow.the object was in the western sky about 8 miles away,6/23/1999,-120.69
6/30/1998 02:00,indianola,ia,us,diamond,1-2 minutes,Orange-Copper Glowing Diamonds...,5/15/2006,-93.5572222
