datetime,city,state,country,shape,duration (hours/min),comments,date posted,longitude 
6/24/2009 01:35,tomball,tx,us,light,30 mins,Light in nightsky,8/5/2009,-95.6158333
11/17/2013 20:00,burlington (canada),on,ca,light,~10 minutes,Two amber lights appearing intermittently; one moving left to right disapearing and reappearing&#44 the other falling in an arc.,11/20/2013,-79.8
7/20/2006 00:00,zilwaukee,mi,us,triangle,2 minutes,Triangle shaped lights stun passer-by&#39s on Zilwaukee Bridge.,12/20/2012,-83.9205556
8/1/2013 00:30,sherman,ct,us,unknown,30 seconds,Unknown craft taunts airplane in night sky,8/30/2013,-73.4961111
9/15/2000 22:00,pinos altos,nm,us,circle,one minute or less,An orange ball of light moved out from behind a far off cliff - stopped and stayed in one place for about a minute (my feeling was that,9/29/2004,-108.22083329999998
9/1/1990 21:00,roscoe,il,us,triangle,10minutes,At the time I was about thirteen years old&#44 but I remember it well. We lived near  big apple orchard  and had just finished picking a b,8/28/2003,-89.00916670000002
3/9/2000 22:09,mountain home (3 miles so. of mo in center of ar),ar,us,fireball,2 minutes,Bright&#44 white&#44 golf ball sized orb hit a glass like dome above the planet - creating 45 sec. of white night light in our forest - follo,4/1/2000,-92.385
2/24/2010 09:30,springvale,me,us,sphere,1-3 hours,Multiple sightings of a variety of shapes of UFOlike crafts&#44 many photos&#33&#33&#33,4/13/2010,-70.7941667
3/22/2007 21:30,visalia,ca,us,sphere,1hr.,2007&#44 March 22 @ 19:30  Amber lights seen over Visalia&#44 CA,4/27/2007,-119.2911111
11/22/2012 16:45,mount kisco,ny,us,light,2 minutes,Red lights traveling over Northern Westchester&#44 NY.,12/20/2012,-73.7275
8/8/2013 20:45,cakovec (croatia),nan,nan,light,5 minutes,White lights.  ((NUFORC Note:  Satellite or ISS??  PD)),8/30/2013,16.437965
1/18/1999 17:00,baltimore,md,us,light,30-45 seconds,Approximately 15 spheres of light traveling down and to the east.,2/16/1999,-76.6125
6/10/2002 02:30,bailey,co,us,oval,3 min,I was listening to your show late last night( about 2:30 AM ) while doing my computer work. Before going to bed I went out to check the,8/16/2002,-105.4727778
8/10/2008 21:50,westminster,md,us,fireball,2 seconds,Small Orange Light Observed Traveling South,8/12/2008,-76.9961111
5/16/2013 18:45,greytown (new zealand),nan,nan,fireball,3 minutes,orange glowing light,6/2/2013,175.45551899999995
9/3/2004 23:40,palm harbor,fl,us,triangle,5 seconds,A large black trianglular object with about 9 circular white lights bordering the underside flew overhead in palm harbor.,9/9/2004,-82.76388890000001
8/4/2001 21:00,ashtabula,oh,us,cigar,2 min.,two silver cigar shaped objects. Objects apprear to have bright silver lighting running down the middle. Moving slowly&#44one moving east&#44,8/5/2001,-80.79
12/16/2007 20:30,charlottesville,va,us,light,30 minutes,Wandering lights in the sky over Charlottesville&#44 VA,1/21/2008,-78.47694440000002
3/18/2012 22:00,niceville,fl,us,fireball,2 minutes,Amber colored silent spherical fireball rising from tree line then moving NE&#44 seen by 2 people. ((NUFORC Note:  Pilot report.  PD)),5/13/2012,-86.48222220000002
10/20/1968 20:00,wayne,mi,us,oval,1 hour,A grey oval craft hovering over a hambuger standfor an hour about 200  feet  above the light poles with no sound.,8/12/2008,-83.38638890000001
8/12/2001 00:15,victoria (canada),bc,ca,oval,4 minutes,6-7 oval shaped objects witnessed traveling over Victoria British Columbia evening sky.,8/20/2001,-63.483333
9/20/2007 20:00,coos bay,or,us,cigar,10 -13 minutes,The cigar shaped object&#44 possibly hundreds of feet long&#44 flew slowly along the Pacific coastline.,11/28/2007,-124.21666670000002
7/31/2001 23:50,blanchester,oh,us,triangle,8-10 minutes,smooth&#44 rounded&#44 silent&#44 triangular object  following me...,8/5/2001,-83.9888889
3/7/2011 21:05,yakima,wa,us,circle,15 min,March 7&#44 2011.  Yakima&#44 WA West Valley UFO Sighting,3/23/2011,-120.5047222
5/1/2012 21:30,sandy,ut,nan,circle,3 minutes,Orange lights sighted over Salt Lake Valley.,5/13/2012,-111.859722
10/13/2012 20:30,lemont,il,us,oval,40 minutes,MULTIPAL YELLOW-ORANGE LIGHTS RISING IN NORTHERN SKY THEN DRIFTING EAST,10/30/2012,-88.0016667
